case_name,title,content,add_topic,expected_result
发布纯文本,测试标题_001,正文内容,FALSE,success
发布带话题,测试标题_002,今日热点讨论科技前沿,TRUE,success
超长标题,这是一个超过50个字符的超长标题用于测试前端截断功能XXXXXXXXXXXXXXXXXXXXXXXX,正文内容,FALSE,fail
空标题,,正文内容不为空,FALSE,fail
空正文,测试标题_003,,FALSE,fail
特殊字符正文,测试标题_004,<script>alert(1)</script> & <html>,FALSE,fail
标题含Emoji,😊测试标题_005,正文含Emoji 😄🎉,FALSE,success
标题两端空格,  标题前后有空格  ,正文正常,FALSE,success
话题含特殊符号,测试标题_006,正文内容,TRUE,success
超长正文,测试标题_007,"这是一段超过200个字符的正文内容，用于测试数据库字段长度限制和前端显示截断。重复填充数据：1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890 1234567890",FALSE,fail
敏感词正文,测试标题_008,正文包含非法敏感词（如赌博、色情等）,FALSE,fail
标题与正文均空,,,FALSE,fail
重复发布相同内容,测试标题_009,相同正文内容,FALSE,success
发布后立即再次发布,测试标题_010,再次发布内容,FALSE,success
正文含SQL注入,测试标题_011,' OR '1'='1, FALSESQL注入尝试,FALSE,fail
话题为空但标记TRUE,测试标题_012,正文内容,TRUE,fail
标题首尾特殊字符,#测试标题_013#,正文正常,FALSE,success
标题为数字,123456,数字标题正文,FALSE,success
